SHIPMENT CHARGES
Total charge equals units times unit price plus the fixed fee. There are no other charges.

CH-000: units=2; unit price=3; fixed fee=0.
CH-056: units=16; unit price=21; fixed fee=1.
CH-057: units=5; unit price=9; fixed fee=6.
CH-058: units=12; unit price=20; fixed fee=2.
CH-059: units=19; unit price=8; fixed fee=7.
CH-060: units=8; unit price=19; fixed fee=3.
CH-061: units=15; unit price=7; fixed fee=8.
CH-062: units=4; unit price=18; fixed fee=4.
CH-063: units=11; unit price=6; fixed fee=0.
CH-064: units=18; unit price=17; fixed fee=5.
CH-065: units=7; unit price=5; fixed fee=1.
CH-066: units=14; unit price=16; fixed fee=6.
CH-067: units=3; unit price=4; fixed fee=2.
CH-068: units=10; unit price=15; fixed fee=7.
CH-069: units=17; unit price=3; fixed fee=3.
CH-070: units=6; unit price=14; fixed fee=8.
CH-071: units=13; unit price=25; fixed fee=4.
CH-072: units=2; unit price=13; fixed fee=0.
CH-073: units=9; unit price=24; fixed fee=5.
CH-074: units=16; unit price=12; fixed fee=1.
CH-075: units=5; unit price=23; fixed fee=6.
CH-076: units=12; unit price=11; fixed fee=2.
CH-077: units=19; unit price=22; fixed fee=7.
CH-078: units=8; unit price=10; fixed fee=3.
CH-079: units=15; unit price=21; fixed fee=8.
CH-080: units=4; unit price=9; fixed fee=4.
CH-081: units=11; unit price=20; fixed fee=0.
CH-082: units=18; unit price=8; fixed fee=5.
CH-083: units=7; unit price=19; fixed fee=1.
CH-084: units=14; unit price=7; fixed fee=6.
CH-085: units=3; unit price=18; fixed fee=2.
CH-086: units=10; unit price=6; fixed fee=7.
CH-087: units=17; unit price=17; fixed fee=3.
CH-088: units=6; unit price=5; fixed fee=8.
CH-089: units=13; unit price=16; fixed fee=4.
CH-090: units=2; unit price=4; fixed fee=0.
CH-091: units=9; unit price=15; fixed fee=5.
CH-092: units=16; unit price=3; fixed fee=1.
CH-093: units=5; unit price=14; fixed fee=6.
CH-094: units=12; unit price=25; fixed fee=2.
CH-095: units=19; unit price=13; fixed fee=7.
CH-096: units=8; unit price=24; fixed fee=3.
CH-097: units=15; unit price=12; fixed fee=8.
CH-098: units=4; unit price=23; fixed fee=4.
CH-099: units=11; unit price=11; fixed fee=0.
CH-100: units=18; unit price=22; fixed fee=5.
CH-101: units=7; unit price=10; fixed fee=1.
CH-102: units=14; unit price=21; fixed fee=6.
CH-103: units=3; unit price=9; fixed fee=2.
CH-104: units=10; unit price=20; fixed fee=7.
CH-105: units=17; unit price=8; fixed fee=3.
CH-106: units=6; unit price=19; fixed fee=8.
CH-107: units=13; unit price=7; fixed fee=4.
CH-108: units=2; unit price=18; fixed fee=0.
CH-109: units=9; unit price=6; fixed fee=5.
CH-110: units=16; unit price=17; fixed fee=1.
CH-111: units=5; unit price=5; fixed fee=6.
CH-112: units=12; unit price=16; fixed fee=2.
CH-113: units=19; unit price=4; fixed fee=7.
CH-114: units=8; unit price=15; fixed fee=3.
CH-115: units=15; unit price=3; fixed fee=8.
CH-116: units=4; unit price=14; fixed fee=4.
CH-117: units=11; unit price=25; fixed fee=0.
CH-118: units=18; unit price=13; fixed fee=5.
CH-119: units=7; unit price=24; fixed fee=1.
