EXPORT RELEASE RULES
Release is allowed only if inspection passed and payment cleared.
Cold cargo additionally requires a temperature certificate.
Hazardous cargo additionally requires both a permit and an escort.
A director waiver replaces only the payment requirement; it replaces no other requirement.

EX-135: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-147: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-148: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-071: inspection=no; payment=yes; cold=yes; certificate=no; hazardous=yes; permit=no; escort=no; waiver=no.
EX-105: inspection=yes; payment=no; cold=no; certificate=no; hazardous=no; permit=no; escort=yes; waiver=yes.
EX-138: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-054: inspection=yes; payment=yes; cold=no; certificate=no; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-028: inspection=no; payment=no; cold=no; certificate=no; hazardous=yes; permit=yes; escort=no; waiver=no.
EX-031: inspection=no; payment=no; cold=no; certificate=no; hazardous=no; permit=no; escort=yes; waiver=no.
EX-052: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-053: inspection=no; payment=yes; cold=no; certificate=no; hazardous=yes; permit=yes; escort=yes; waiver=yes.
EX-022: inspection=no; payment=no; cold=yes; certificate=no; hazardous=yes; permit=no; escort=no; waiver=yes.
EX-030: inspection=no; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=no; waiver=no.
EX-051: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=no; waiver=no.
EX-046: inspection=yes; payment=yes; cold=no; certificate=no; hazardous=no; permit=no; escort=no; waiver=no.
EX-047: inspection=yes; payment=yes; cold=yes; certificate=no; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-035: inspection=no; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-017: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=no; waiver=yes.
EX-060: inspection=yes; payment=no; cold=yes; certificate=no; hazardous=no; permit=yes; escort=no; waiver=no.
EX-065: inspection=no; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-131: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-084: inspection=yes; payment=yes; cold=no; certificate=no; hazardous=no; permit=no; escort=yes; waiver=no.
EX-120: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-141: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-007: inspection=no; payment=yes; cold=yes; certificate=no; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-036: inspection=yes; payment=no; cold=no; certificate=no; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-041: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=yes; permit=no; escort=no; waiver=yes.
EX-154: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-064: inspection=yes; payment=yes; cold=yes; certificate=no; hazardous=no; permit=no; escort=no; waiver=no.
EX-006: inspection=no; payment=yes; cold=yes; certificate=no; hazardous=no; permit=yes; escort=no; waiver=no.
EX-155: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-132: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-008: inspection=no; payment=yes; cold=no; certificate=no; hazardous=no; permit=no; escort=yes; waiver=yes.
EX-016: inspection=yes; payment=no; cold=no; certificate=no; hazardous=yes; permit=yes; escort=yes; waiver=yes.
EX-134: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-142: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-015: inspection=no; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=no; waiver=yes.
EX-020: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=no; escort=yes; waiver=no.
EX-057: inspection=yes; payment=yes; cold=yes; certificate=no; hazardous=no; permit=no; escort=no; waiver=yes.
