PARTS CATALOG
Each row is final. Match the complete part ID exactly.

PX-00-00 | color=blue | zone=B1 | mass=11
PX-12-08 | color=violet | zone=C1 | mass=73
PX-12-09 | color=ivory | zone=C2 | mass=86
PX-13-00 | color=green | zone=A1 | mass=99
PX-13-01 | color=coral | zone=A2 | mass=23
PX-13-02 | color=blue | zone=B1 | mass=36
PX-13-03 | color=amber | zone=B2 | mass=49
PX-13-04 | color=violet | zone=C1 | mass=62
PX-13-05 | color=ivory | zone=C2 | mass=75
PX-13-06 | color=green | zone=A1 | mass=88
PX-13-07 | color=coral | zone=A2 | mass=12
PX-13-08 | color=blue | zone=B1 | mass=25
PX-13-09 | color=amber | zone=B2 | mass=38
PX-14-00 | color=violet | zone=C1 | mass=51
PX-14-01 | color=ivory | zone=C2 | mass=64
PX-14-02 | color=green | zone=A1 | mass=77
PX-14-03 | color=coral | zone=A2 | mass=90
PX-14-04 | color=blue | zone=B1 | mass=14
PX-14-05 | color=amber | zone=B2 | mass=27
PX-14-06 | color=violet | zone=C1 | mass=40
PX-14-07 | color=ivory | zone=C2 | mass=53
PX-14-08 | color=green | zone=A1 | mass=66
PX-14-09 | color=coral | zone=A2 | mass=79
PX-15-00 | color=blue | zone=B1 | mass=92
PX-15-01 | color=amber | zone=B2 | mass=16
PX-15-02 | color=violet | zone=C1 | mass=29
PX-15-03 | color=ivory | zone=C2 | mass=42
PX-15-04 | color=green | zone=A1 | mass=55
PX-15-05 | color=coral | zone=A2 | mass=68
PX-15-06 | color=blue | zone=B1 | mass=81
PX-15-07 | color=amber | zone=B2 | mass=94
PX-15-08 | color=violet | zone=C1 | mass=18
PX-15-09 | color=ivory | zone=C2 | mass=31
PX-16-00 | color=green | zone=A1 | mass=44
PX-16-01 | color=coral | zone=A2 | mass=57
PX-16-02 | color=blue | zone=B1 | mass=70
PX-16-03 | color=amber | zone=B2 | mass=83
PX-16-04 | color=violet | zone=C1 | mass=96
PX-16-05 | color=ivory | zone=C2 | mass=20
PX-16-06 | color=green | zone=A1 | mass=33
PX-16-07 | color=coral | zone=A2 | mass=46
PX-16-08 | color=blue | zone=B1 | mass=59
PX-16-09 | color=amber | zone=B2 | mass=72
PX-17-00 | color=violet | zone=C1 | mass=85
PX-17-01 | color=ivory | zone=C2 | mass=98
PX-17-02 | color=green | zone=A1 | mass=22
PX-17-03 | color=coral | zone=A2 | mass=35
PX-17-04 | color=blue | zone=B1 | mass=48
PX-17-05 | color=amber | zone=B2 | mass=61
PX-17-06 | color=violet | zone=C1 | mass=74
PX-17-07 | color=ivory | zone=C2 | mass=87
PX-17-08 | color=green | zone=A1 | mass=11
PX-17-09 | color=coral | zone=A2 | mass=24
